"difficulty","label","SAM+pts-bilateral-filter","SAM+pts-no-filter","SAM-bilateral-filter","SAM-no-filter","SAM2+pts-bilateral-filter","SAM2+pts-no-filter","SAM2-bilateral-filter","SAM2-no-filter","mSAM+pts-bilateral-filter","mSAM+pts-no-filter","mSAM-bilateral-filter","mSAM-no-filter"
"hard","HT115b","0.1217605203069089","0.124498767662149","0.12457847531523226","0.1272147278811607","0.08506415876918624","0.08847221610857037","0.08871492418026883","0.09010079377731524","0.09379019158737235","0.08158895210096996","0.07798738482109119","0.004396376042803606"
"hard","HT122b","0.18040334502528407","0.17733769659213655","0.14052950946017825","0.16550750109848722","0.11528186054488304","0.12517800102657925","0.14047984239780484","0.14338736673383293","0.10399875788671362","0.14743173807060309","0.031110178497695165","0.006716533174466583"
"hard","HT140","0.20338426392138964","0.2126347482459206","0.14947030497592295","0.11994407752012727","0.14130281402482045","0.14429173999273723","0.12737385003480772","0.13837661762637585","0.19635395179177575","0.194516065478281","0.07484271410553875","0.07020030003469456"
"hard","HT3","0.1591394228745633","0.15781174661506184","0.14751928270116668","0.1410717775027682","0.14279198573651394","0.14857060134570668","0.15461978438293117","0.15634725934605104","0.12158765768305631","0.14201436540895077","0.0914397001284661","0.11169100761836995"
"hard","HT30","0.32494626923995396","0.3124806260001173","0.1827006246996636","0.1526590550136841","0.18641643527405516","0.18401774935095921","0.1970536260742886","0.19679053035977814","0.1978786138234731","0.24125803238516663","0.05589017045038894","0.02635312276560248"
"hard","HT8a","0.18139354065210747","0.23113799589295797","0.14623781962048502","0.09240539626470257","0.13109328854661062","0.133872252462348","0.13942563127429322","0.1396524661160507","0.23299434843950056","0.30166924594502004","0.1283639242054011","0.1006691180903008"
"hard","HT9b","0.19930813239340547","0.19707290972068806","0.02061356297093649","0.009846526211562793","0.16988200935824602","0.17212455719043132","0.16796289461446934","0.1705943957428485","0.16740032700289273","0.17213047068538398","0.005091882364461273","0.0"
"hard","KN1a","0.2596386127657681","0.33415620707620897","0.21609241137485546","0.24646556717083962","0.16879169613671555","0.1795601484350237","0.18650540494451703","0.19297361353461276","0.2529337687675399","0.2465999830704551","0.08274629463833377","0.008633364552974847"
"medium","HT13","0.2344244791636992","0.2334110820096512","0.0009187798603454","0.0664069046421987","0.1693088069565058","0.1759822467215582","0.1789838189696041","0.1796955223489565","0.3488116203191765","0.329453278234674","0.0183785154763879","0.0126674270973206"
"medium","HT132","0.1604407398277738","0.1526697025716187","0.3270706413058643","0.2669918029758417","0.0965781887784516","0.1339759405356182","0.1440382665447389","0.1437462739129343","0.1682343043261213","0.1957655156012842","0.1038250945793319","0.0954374882076295"
