difficulty,label,model,Dice
medium,HT13,mSAM-no-filter-best-of-three,0.0552277223407372
medium,HT13,mSAM-no-filter-single,0.0077240852600152
medium,HT132,mSAM+pts-bilateral-filter-best-of-three,0.0456607083138027
medium,HT132,mSAM+pts-bilateral-filter-single,0.0813397895190316
medium,HT132,mSAM+pts-no-filter-best-of-three,0.0422378794592206
medium,HT132,mSAM+pts-no-filter-single,0.0823311691315947
medium,HT132,mSAM-bilateral-filter-best-of-three,0.0280320405066047
medium,HT132,mSAM-bilateral-filter-single,0.0429067951556464
medium,HT132,mSAM-no-filter-best-of-three,0.0003204525776404
medium,HT132,mSAM-no-filter-single,0.038157961070492
medium,HT135a,mSAM+pts-bilateral-filter-best-of-three,0.0006239293198953
medium,HT135a,mSAM+pts-bilateral-filter-single,0.0023391812865497
medium,HT135a,mSAM+pts-no-filter-best-of-three,0.0006463585522578
medium,HT135a,mSAM+pts-no-filter-single,0.0029235820626995
medium,HT135a,mSAM-bilateral-filter-best-of-three,0.0006608573251978
medium,HT135a,mSAM-bilateral-filter-single,0.000553022080604
medium,HT135a,mSAM-no-filter-best-of-three,0.0006124599376564
medium,HT135a,mSAM-no-filter-single,0.0005032550103476
medium,HT154B,mSAM+pts-bilateral-filter-best-of-three,0.0263523894544465
medium,HT154B,mSAM+pts-bilateral-filter-single,0.1173060665834708
medium,HT154B,mSAM+pts-no-filter-best-of-three,0.0185339226691559
medium,HT154B,mSAM+pts-no-filter-single,0.11385679983362
medium,HT154B,mSAM-bilateral-filter-best-of-three,0.0109037849749118
medium,HT154B,mSAM-bilateral-filter-single,0.0150645338514089
medium,HT154B,mSAM-no-filter-best-of-three,0.0116748423730443
medium,HT154B,mSAM-no-filter-single,0.0322501403705783
medium,HT20,mSAM+pts-bilateral-filter-best-of-three,0.0326134619600964
medium,HT20,mSAM+pts-bilateral-filter-single,0.1465801465801466
medium,HT20,mSAM+pts-no-filter-best-of-three,0.0526640340218712
medium,HT20,mSAM+pts-no-filter-single,0.1284805206023784
medium,HT20,mSAM-bilateral-filter-best-of-three,0.0490119514133906
medium,HT20,mSAM-bilateral-filter-single,0.0
medium,HT20,mSAM-no-filter-best-of-three,0.0392691337096183
medium,HT20,mSAM-no-filter-single,0.0217578013169195
medium,HT4,mSAM+pts-bilateral-filter-best-of-three,0.1071003355341487
medium,HT4,mSAM+pts-bilateral-filter-single,0.2183014693368128
medium,HT4,mSAM+pts-no-filter-best-of-three,0.0683008449761566
medium,HT4,mSAM+pts-no-filter-single,0.2193942796544087
medium,HT4,mSAM-bilateral-filter-best-of-three,0.065244136656405
medium,HT4,mSAM-bilateral-filter-single,0.0629658709177284
medium,HT4,mSAM-no-filter-best-of-three,0.0660123038639662
medium,HT4,mSAM-no-filter-single,0.0609385886334229
medium,HT85b,mSAM+pts-bilateral-filter-best-of-three,0.0375258967364168
medium,HT85b,mSAM+pts-bilateral-filter-single,0.1101258502464682
medium,HT85b,mSAM+pts-no-filter-best-of-three,0.0363070478213411
medium,HT85b,mSAM+pts-no-filter-single,0.0934076761681755
medium,HT85b,mSAM-bilateral-filter-best-of-three,0.0336826829111294
medium,HT85b,mSAM-bilateral-filter-single,0.034284055281438
medium,HT85b,mSAM-no-filter-best-of-three,0.0338632918140573
medium,HT85b,mSAM-no-filter-single,0.0348905195074764
medium,HT90,mSAM+pts-bilateral-filter-best-of-three,0.0471272459055259
medium,HT90,mSAM+pts-bilateral-filter-single,0.1871680220868469
medium,HT90,mSAM+pts-no-filter-best-of-three,0.0408311484577562
medium,HT90,mSAM+pts-no-filter-single,0.1777198928470999
medium,HT90,mSAM-bilateral-filter-best-of-three,0.0383117529880478
medium,HT90,mSAM-bilateral-filter-single,0.0456141503391417
medium,HT90,mSAM-no-filter-best-of-three,0.0396493919935242
medium,HT90,mSAM-no-filter-single,0.0121963614188433
medium,PH31b,mSAM+pts-bilateral-filter-best-of-three,0.0464823190962
medium,PH31b,mSAM+pts-bilateral-filter-single,0.1161101523223531
medium,PH31b,mSAM+pts-no-filter-best-of-three,0.0461077288731043
medium,PH31b,mSAM+pts-no-filter-single,0.1391708884464507
medium,PH31b,mSAM-bilateral-filter-best-of-three,0.0454413554566896
medium,PH31b,mSAM-bilateral-filter-single,0.0387749603329042
medium,PH31b,mSAM-no-filter-best-of-three,0.0449431847257272
medium,PH31b,mSAM-no-filter-single,0.0372571678919569
