number,value,datetime_start,datetime_complete,duration,params_C,params_d_gap_erosion,params_d_gaussian,params_n_bgd_points,params_n_fgd_points,state
84,0.05119714264360009,2026-04-10 05:21:10.544846,2026-04-10 05:21:53.590294,0 days 00:00:43.045448,10,17,5,1139,36,COMPLETE
85,0.050369910866139074,2026-04-10 05:21:53.592141,2026-04-10 05:22:36.479171,0 days 00:00:42.887030,9,17,5,1122,44,COMPLETE
86,0.0508902003788908,2026-04-10 05:22:36.489093,2026-04-10 05:23:18.227211,0 days 00:00:41.738118,10,17,23,1216,4,COMPLETE
87,0.04819824192520816,2026-04-10 05:23:18.229771,2026-04-10 05:24:00.660312,0 days 00:00:42.430541,9,17,27,1147,96,COMPLETE
88,0.04834120960399718,2026-04-10 05:24:00.661367,2026-04-10 05:24:45.940360,0 days 00:00:45.278993,10,17,13,1313,231,COMPLETE
89,0.05115643888588419,2026-04-10 05:24:45.942583,2026-04-10 05:25:27.793649,0 days 00:00:41.851066,10,17,5,1044,109,COMPLETE
90,0.05076339807527229,2026-04-10 05:25:27.796512,2026-04-10 05:26:07.419797,0 days 00:00:39.623285,8,17,3,1038,120,COMPLETE
91,0.05125976382172224,2026-04-10 05:26:07.421551,2026-04-10 05:26:45.878956,0 days 00:00:38.457405,10,17,5,808,30,COMPLETE
92,0.05135018045920089,2026-04-10 05:26:45.881892,2026-04-10 05:27:22.209669,0 days 00:00:36.327777,10,17,5,692,332,COMPLETE
93,0.05136996229298137,2026-04-10 05:27:22.212496,2026-04-10 05:27:58.791755,0 days 00:00:36.579259,10,17,5,712,145,COMPLETE
94,0.05141331692698665,2026-04-10 05:27:58.792413,2026-04-10 05:28:34.225243,0 days 00:00:35.432830,10,17,5,628,349,COMPLETE
95,0.05067636474509834,2026-04-10 05:28:34.226671,2026-04-10 05:29:10.711615,0 days 00:00:36.484944,9,17,5,631,335,COMPLETE
96,0.05137202791415589,2026-04-10 05:29:10.720308,2026-04-10 05:29:48.409926,0 days 00:00:37.689618,10,17,5,683,210,COMPLETE
97,0.05138192555598685,2026-04-10 05:29:48.411273,2026-04-10 05:30:26.669749,0 days 00:00:38.258476,10,17,5,675,207,COMPLETE
98,0.04842610720921435,2026-04-10 05:30:26.671552,2026-04-10 05:31:07.533958,0 days 00:00:40.862406,9,17,9,672,411,COMPLETE
99,0.04836633048175115,2026-04-10 05:31:07.535213,2026-04-10 05:31:46.111077,0 days 00:00:38.575864,10,17,17,479,208,COMPLETE
